Squad,# Pl_x,90s_x,Gls_x,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,PK_x,PKatt_x,# Pl_y,Age_x,Poss,MP_x,Starts_x,Min_x,90s_y,Gls_y,Ast,G+A,G-PK,PK_y,PKatt_y,CrdY_x,CrdR_x,PrgC,PrgP,G+A-PK,Age_y,MP_y,Min_y,Mn/MP,Min%,Starts_y,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,MP,Starts,Min,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,# Pl,90s,CrdY_y,CrdR_y,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG
Aston Villa,26,,38.0,,136.0,,,3.58,,0.26,,2.0,4.0,26,24.6,,38,418,,,38.0,25.0,63.0,36.0,2.0,4.0,0.0,0.0,,,1.61,24.6,38,,,100,418.0,,,91.0,0,,1.0,39.0,61.0,-22.0,,38,38,3420,61.0,1.61,174.0,113.0,64.9,10.0,8.0,20.0,9.0,23.7,,,,,26,,0,0,,483,,,,,,,,
Cardiff City,32,,31.0,,125.0,,,3.29,,0.24,,1.0,1.0,32,25.4,,38,418,,,31.0,24.0,55.0,30.0,1.0,1.0,0.0,0.0,,,1.42,25.4,38,,,100,418.0,,,110.0,0,,0.79,32.0,74.0,-42.0,,38,38,3420,74.0,1.95,220.0,146.0,66.4,7.0,9.0,22.0,7.0,18.4,,,,,32,,0,0,,348,,,,,,,,
Chelsea,29,,69.0,,281.0,,,7.39,,0.23,,5.0,7.0,29,27.7,,38,418,,,69.0,39.0,108.0,64.0,5.0,7.0,0.0,0.0,,,2.71,27.7,38,,,100,418.0,,,113.0,0,,2.16,71.0,27.0,44.0,,38,38,3420,27.0,0.71,121.0,94.0,77.7,25.0,7.0,6.0,18.0,47.4,,,,,29,,0,0,,424,,,,,,,,
Crystal Palace,31,,32.0,,142.0,,,3.74,,0.19,,5.0,6.0,31,28.1,,38,418,,,32.0,21.0,53.0,27.0,5.0,6.0,0.0,0.0,,,1.26,28.1,38,,,100,418.0,,,112.0,0,,1.18,33.0,48.0,-15.0,,38,38,3420,48.0,1.26,169.0,121.0,71.6,13.0,6.0,19.0,12.0,31.6,,,,,31,,0,0,,408,,,,,,,,
Everton,28,,58.0,,235.0,,,6.18,,0.23,,3.0,3.0,28,27.6,,38,418,,,58.0,42.0,100.0,55.0,3.0,3.0,0.0,0.0,,,2.55,27.6,38,,,100,418.0,,,103.0,0,,1.89,61.0,39.0,22.0,,38,38,3420,39.0,1.03,148.0,109.0,73.6,21.0,9.0,8.0,15.0,39.5,,,,,28,,0,0,,360,,,,,,,,
Fulham,39,,38.0,,149.0,,,3.92,,0.24,,2.0,3.0,39,29.0,,38,418,,,38.0,28.0,66.0,36.0,2.0,3.0,0.0,0.0,,,1.68,29.0,38,,,100,418.0,,,110.0,0,,0.84,40.0,85.0,-45.0,,38,38,3420,85.0,2.24,241.0,156.0,64.7,9.0,5.0,24.0,5.0,13.2,,,,,39,,0,0,,385,,,,,,,,
Hull City,27,,35.0,,129.0,,,3.39,,0.26,,2.0,3.0,27,27.5,,38,418,,,35.0,21.0,56.0,33.0,2.0,3.0,0.0,0.0,,,1.42,27.5,38,,,100,418.0,,,108.0,0,,0.97,38.0,53.0,-15.0,,38,38,3419,53.0,1.4,164.0,111.0,67.7,10.0,7.0,21.0,10.0,26.3,,,,,27,,0,0,,418,,,,,,,,
Liverpool,25,,97.0,,300.0,,,7.89,,0.29,,10.0,12.0,25,25.7,,38,418,,,97.0,61.0,158.0,87.0,10.0,12.0,0.0,0.0,,,3.89,25.7,38,,,100,418.0,,,89.0,0,,2.21,101.0,50.0,51.0,,38,38,3420,50.0,1.32,152.0,102.0,67.1,26.0,6.0,6.0,10.0,26.3,,,,,25,,0,0,,410,,,,,,,,
Manchester City,23,,97.0,,239.0,,,6.29,,0.38,,6.0,7.0,23,27.7,,38,418,,,97.0,63.0,160.0,91.0,6.0,7.0,0.0,0.0,,,4.05,27.7,38,,,100,418.0,,,108.0,0,,2.26,102.0,37.0,65.0,,38,38,3420,37.0,0.97,126.0,89.0,70.6,27.0,5.0,6.0,16.0,42.1,,,,,23,,0,0,,393,,,,,,,,
Manchester Utd,30,,63.0,,234.0,,,6.16,,0.25,,5.0,5.0,30,26.7,,38,418,,,63.0,37.0,100.0,58.0,5.0,5.0,0.0,0.0,,,2.5,26.7,38,,,100,418.0,,,106.0,0,,1.68,64.0,43.0,21.0,,38,38,3420,43.0,1.13,143.0,100.0,69.9,19.0,7.0,12.0,13.0,34.2,,,,,30,,0,0,,400,,,,,,,,
Newcastle Utd,26,,41.0,,185.0,,,4.87,,0.21,,2.0,3.0,26,26.4,,38,418,,,41.0,25.0,66.0,39.0,2.0,3.0,0.0,0.0,,,1.68,26.4,38,,,100,418.0,,,105.0,0,,1.29,43.0,59.0,-16.0,,38,38,3420,59.0,1.55,170.0,111.0,65.3,15.0,4.0,19.0,10.0,26.3,,,,,26,,0,0,,412,,,,,,,,
Norwich City,25,,28.0,,145.0,,,3.82,,0.19,,1.0,2.0,25,26.3,,38,418,,,28.0,18.0,46.0,27.0,1.0,2.0,0.0,0.0,,,1.18,26.3,38,,,100,418.0,,,95.0,0,,0.87,28.0,62.0,-34.0,,38,38,3420,62.0,1.63,189.0,127.0,67.2,8.0,9.0,21.0,12.0,31.6,,,,,25,,0,0,,425,,,,,,,,
Southampton,24,,52.0,,181.0,,,4.76,,0.27,,3.0,3.0,24,25.1,,38,418,,,52.0,37.0,89.0,49.0,3.0,3.0,0.0,0.0,,,2.26,25.1,38,,,100,418.0,,,106.0,0,,1.47,54.0,46.0,8.0,,38,38,3420,46.0,1.21,132.0,86.0,65.2,15.0,11.0,12.0,15.0,39.5,,,,,24,,0,0,,444,,,,,,,,
Stoke City,26,,44.0,,142.0,,,3.74,,0.28,,4.0,5.0,26,27.3,,38,418,,,44.0,26.0,70.0,40.0,4.0,5.0,0.0,0.0,,,1.74,27.3,38,,,100,418.0,,,98.0,0,,1.32,45.0,52.0,-7.0,,38,38,3420,52.0,1.37,173.0,121.0,69.9,13.0,11.0,14.0,9.0,23.7,,,,,26,,0,0,,486,,,,,,,,
Sunderland,31,,41.0,,135.0,,,3.55,,0.26,,6.0,6.0,31,26.5,,38,418,,,41.0,24.0,65.0,35.0,6.0,6.0,0.0,0.0,,,1.55,26.5,38,,,100,418.0,,,105.0,0,,1.0,41.0,60.0,-19.0,,38,38,3420,60.0,1.58,217.0,157.0,72.4,10.0,8.0,20.0,11.0,28.9,,,,,31,,0,0,,444,,,,,,,,
Swansea City,27,,47.0,,163.0,,,4.29,,0.26,,4.0,4.0,27,26.5,,38,418,,,47.0,37.0,84.0,43.0,4.0,4.0,0.0,0.0,,,2.11,26.5,38,,,100,418.0,,,100.0,0,,1.11,54.0,54.0,0.0,,38,38,3420,54.0,1.42,155.0,101.0,65.2,11.0,9.0,18.0,8.0,21.1,,,,,27,,0,0,,374,,,,,,,,
Tottenham,28,,50.0,,228.0,,,6.0,,0.2,,5.0,6.0,28,25.2,,38,418,,,50.0,33.0,83.0,45.0,5.0,6.0,0.0,0.0,,,2.05,25.2,38,,,100,418.0,,,108.0,0,,1.82,55.0,51.0,4.0,,38,38,3420,51.0,1.34,152.0,101.0,66.4,21.0,6.0,11.0,14.0,36.8,,,,,28,,0,0,,403,,,,,,,,
West Brom,28,,41.0,,145.0,,,3.82,,0.27,,2.0,2.0,28,28.4,,38,418,,,41.0,27.0,68.0,39.0,2.0,2.0,0.0,0.0,,,1.74,28.4,38,,,100,418.0,,,111.0,0,,0.95,43.0,59.0,-16.0,,38,38,3420,59.0,1.55,174.0,115.0,66.1,7.0,15.0,16.0,7.0,18.4,,,,,28,,0,0,,424,,,,,,,,
West Ham,29,,36.0,,123.0,,,3.24,,0.28,,2.0,2.0,29,28.5,,38,418,,,36.0,22.0,58.0,34.0,2.0,2.0,0.0,0.0,,,1.47,28.5,38,,,100,418.0,,,110.0,0,,1.05,40.0,51.0,-11.0,,38,38,3420,51.0,1.34,193.0,142.0,73.6,11.0,7.0,20.0,14.0,36.8,,,,,29,,0,0,,402,,,,,,,,
